"Name";"TagLine";"Logo";"URL";"NumberOfUpvotes";"NumberOfComments";"HunterName"
"The Culture Book";"A practical guide to building incredible corporate cultures.";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/19f0457645cefe6bc5e6e72ef66daa9b/png/?max_width=850&url=http%3A%2F%2Fgettheculturebook.com%2F";"https://www.producthunt.com/r/082a1f78b5c4d6/124930?app_id=5984";"104";"4";"Aliyah Marandiz"
"Delta for Desktop";"An extension to the best crypto portfolio tracker on mobile.";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/8dffd8d588905eae5c663d6b52edc2a3/png/?max_width=850&url=https%3A%2F%2Fgetdelta.io";"https://www.producthunt.com/r/3c1587001a159c/124947?app_id=5984";"66";"3";"Nicolas Van Hoorde"
"MotionComics.io";"Create web-based motion comics";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/f4dce9ebc6340d15fbca935839ebdc5d/png/?max_width=850&url=https%3A%2F%2Fmotioncomics.io";"https://www.producthunt.com/r/5052c86213076c/124866?app_id=5984";"67";"6";"Chafic Najjar"
"Growmodo 2.0";"Unlimited website and design help for a flat monthly fee";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/0509635c50862501cd22470f2323129a/png/?max_width=850&url=https%3A%2F%2Fwww.growmodo.com%2Fintroducing-the-new-growmodo%2F";"https://www.producthunt.com/r/a15f8994ad3f3e/124876?app_id=5984";"52";"4";"Nick Zieber"
"Framer Syntax Theme";"A beautiful VSCode & Atom theme, inspired by our code editor";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/624f18320f286a5e34f8b461f378f005/png/?max_width=850&url=https%3A%2F%2Fframer.com%2Ffree-syntax-theme";"https://www.producthunt.com/r/95956ffadaa5a0/124953?app_id=5984";"77";"10";"Benjamin den Boer"
"Cat in a Flat";"The trusted cat sitting community";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/c71decde39f75ce92fd8ae991101bbcb/png/?max_width=850&url=http%3A%2F%2FCatinaFlat.com";"https://www.producthunt.com/r/d494c66ec423c6/124681?app_id=5984";"49";"2";"Kathrin Burckhardt"
"Fair City";"City building simulation game on the blockchain";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/874d943952bf4d0e795ecd938e0e5a55/png/?max_width=850&url=https%3A%2F%2Ffair.game%2Ffaircity-main";"https://www.producthunt.com/r/1be830fbb26b44/124939?app_id=5984";"69";"26";"Jitesh Dugar"
"Conduit";"Your data-driven AI chief of staff";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/30cfc83a92bada3a3dbed86ba944899a/png/?max_width=850&url=http%3A%2F%2Fconduithq.com%2F";"https://www.producthunt.com/r/a5228ae765aeba/124938?app_id=5984";"32";"4";"Nick Abouzeid"
"Slimplanner";"Let your teamwork flow";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/e2af75bd0032d036f04b11333b26b820/png/?max_width=850&url=https%3A%2F%2Fslimplanner.it";"https://www.producthunt.com/r/3b446837ba797a/124859?app_id=5984";"33";"0";"mauij"
"Lines and Hexa";"Fascinating brain game";"https://url2png.producthunt.com/v6/P5329C1FA0ECB6/9fea2f146a48bc9f5c062d80fe4d0427/png/?max_width=850&url=https%3A%2F%2Fitunes.apple.com%2Fapp%2Flines-and-hexa%2Fid1355583958";"https://www.producthunt.com/r/ab05e360e4ffc8/124341?app_id=5984";"34";"0";"Maimoona"
